Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
C6,7199,7198,7326,7488,7496,7588,7690,7765,7901,7961,8018,8143,8182,8247,8381,8424,8461,8590,8656,8726,8711,8711,8913,8917,9047,9038,9119,9139,9260,9387,9358,9370,9427,9509,9564,9634,9713,9677,9734,9758,9851,9894,9936,10051,10076,10052,10095,10165,10168,10170,10232,10245,10312,10328,10403,10474,10551,10552,10531,10553,10618,10629,10698,10673,10718,10800,10876,10859,10918,10922,10943,10971,11022,11045,11080,11112,11147,11225,11203,11152,11229,11285,11358,11346,11420,11505,11431,11446,11553,11531,11499,11616,11627,11653,11651,11677,11705,11771,11741,11762
C7,5942,5734,5580,5477,5528,5457,5329,5341,5260,5167,5092,5077,5032,4936,5011,4929,4972,4993,4961,4946,4929,4866,4881,4788,4817,4815,4842,4790,4747,4788,4865,4746,4732,4838,4741,4661,4782,4731,4696,4738,4681,4691,4668,4626,4622,4651,4674,4621,4591,4599,4629,4535,4568,4557,4534,4581,4577,4603,4519,4528,4518,4541,4564,4508,4527,4541,4533,4482,4518,4438,4482,4452,4490,4453,4465,4470,4468,4497,4443,4446,4436,4467,4404,4461,4460,4419,4434,4386,4396,4453,4372,4421,4399,4385,4371,4401,4390,4349,4417,4409
D2,7436,7669,7894,8049,8139,8406,8492,8594,8720,8864,8948,9071,9137,9246,9430,9418,9554,9731,9853,10054,10043,10201,10322,10450,10457,10594,10616,10758,10843,10986,11088,11085,11245,11370,11407,11402,11560,11701,11696,11784,11881,11896,11929,12063,12126,12115,12315,12397,12281,12443,12416,12607,12521,12618,12665,12697,12787,12850,12882,12992,12922,13022,13122,13106,13161,13222,13239,13206,13262,13325,13434,13480,13684,13520,13461,13618,13652,13590,13669,13689,13795,13831,13872,13885,13982,13973,14017,14055,14058,14103,14059,14141,14111,14309,14242,14397,14308,14317,14418,14332
D3,8152,8400,8664,8834,9107,9382,9568,9782,9963,10123,10390,10544,10749,10855,11168,11228,11440,11662,11748,11848,12063,12296,12345,12453,12600,12764,12887,13073,13244,13333,13410,13535,13695,13836,13880,14092,14116,14309,14421,14525,14615,14759,14785,15004,15059,15090,15180,15356,15354,15417,15578,15644,15910,15905,15884,15991,16066,16185,16252,16420,16341,16413,16543,16601,16682,16740,16782,16818,16845,17019,16992,17093,17159,17238,17361,17368,17355,17472,17477,17523,17471,17485,17655,17746,17691,17834,17842,17876,17921,17846,18114,18041,18067,17966,18151,18312,18278,18242,18331,18384
D4,7681,8072,8289,8625,8812,9139,9433,9624,9881,10057,10240,10479,10590,10835,10980,11220,11348,11574,11740,11789,11926,12072,12258,12384,12599,12689,12831,13038,13117,13160,13352,13450,13551,13689,13750,13882,13998,14049,14146,14240,14325,14403,14362,14534,14685,14747,14815,14858,14839,14950,15140,15026,15182,15162,15330,15388,15403,15507,15596,15622,15573,15622,15567,15774,15849,15965,15834,16047,16026,16028,16043,16028,16120,16068,16217,16236,16132,16222,16268,16375,16379,16457,16461,16530,16637,16599,16542,16625,16671,16702,16699,16719,16831,16849,16904,16936,16949,16860,16921,16954
D5,5266,5301,5347,5424,5472,5509,5478,5524,5578,5588,5619,5695,5666,5718,5716,5736,5789,5821,5863,5902,5908,6010,5965,5970,6076,6134,6122,6180,6239,6252,6280,6382,6330,6361,6427,6512,6491,6570,6601,6606,6692,6752,6767,6818,6833,6915,6969,7011,7072,7170,7183,7203,7263,7265,7313,7380,7392,7571,7573,7611,7670,7737,7748,7798,7907,7899,7919,7986,8070,8120,8105,8230,8295,8296,8270,8412,8401,8426,8539,8577,8636,8668,8769,8808,8912,8891,8907,9027,9019,9147,9154,9193,9291,9311,9370,9386,9487,9539,9545,9608
D6,6147,6198,6392,6490,6646,6791,6917,6998,7111,7240,7291,7392,7379,7448,7576,7645,7724,7759,7891,7903,7964,8022,8061,8138,8252,8267,8386,8447,8531,8563,8597,8716,8832,8904,8925,9013,9077,9031,9177,9187,9267,9301,9347,9425,9493,9592,9638,9624,9707,9788,9852,9884,10002,10064,10062,10145,10175,10257,10301,10366,10387,10404,10417,10615,10481,10597,10635,10658,10704,10755,10782,10894,10887,10904,10983,11081,11074,11182,11199,11221,11332,11333,11390,11381,11510,11540,11522,11596,11559,11722,11652,11782,11734,11918,12054,11936,12037,12037,12159,12125
D7,5758,5633,5435,5510,5463,5601,5418,5392,5411,5392,5370,5459,5420,5250,5321,5350,5323,5111,5274,5230,4932,4987,5113,5014,4980,4981,4993,4903,4813,4904,4866,4848,4954,4872,4845,4868,4908,4917,4823,4847,4833,4851,4783,4777,4785,4846,4820,4915,4848,4810,4829,4835,4803,4763,4808,4777,4787,4707,4732,4743,4787,4690,4730,4753,4675,4657,4662,4665,4620,4618,4605,4668,4634,4583,4566,4665,4587,4573,4601,4551,4581,4544,4508,4570,4556,4583,4549,4591,4551,4541,4536,4530,4524,4533,4501,4556,4548,4506,4543,4500
E2,6842,6985,7199,7337,7415,7629,7775,7918,8056,8209,8404,8546,8648,8718,8890,8994,9090,9154,9276,9292,9364,9455,9538,9598,9666,9776,9804,9890,9991,10025,10018,10149,10206,10242,10320,10320,10417,10381,10549,10651,10623,10791,10729,10827,10927,10901,11001,11024,11147,11075,11180,11205,11265,11374,11378,11435,11515,11599,11552,11611,11674,11691,11709,11823,11830,11875,11926,11945,11952,11953,12069,12156,12193,12241,12212,12264,12288,12322,12364,12473,12466,12545,12606,12574,12670,12758,12757,12840,12753,12775,12816,12945,12958,12981,12891,13003,13025,13068,13115,13210
E3,5855,6024,6233,6492,6637,6914,7192,7346,7404,7655,7970,8173,8405,8599,8792,8998,9121,9377,9465,9643,9747,9855,9966,10031,10119,10322,10273,10521,10532,10838,10810,10932,11104,11147,11220,11253,11334,11372,11591,11510,11678,11712,11848,11931,11983,12122,12120,12093,12293,12321,12381,12385,12478,12498,12506,12737,12754,12850,12967,12868,12952,13002,13011,13182,13113,13195,13250,13233,13269,13378,13466,13474,13538,13538,13573,13664,13706,13679,13814,13791,13909,13851,13923,14047,14024,14136,14087,14136,14184,14321,14223,14283,14302,14309,14368,14469,14344,14510,14540,14572
E4,7213,7317,7493,7761,8035,8248,8430,8651,8857,9236,9375,9603,9826,10040,10285,10386,10572,10795,10894,11050,11223,11386,11441,11555,11685,11913,11893,12069,12235,12337,12377,12509,12586,12649,12706,12857,13030,12935,13047,13095,13238,13321,13391,13550,13516,13554,13572,13685,13730,13843,13892,13833,13954,14057,14008,14058,14082,14186,14175,14284,14245,14297,14370,14310,14360,14494,14403,14466,14519,14501,14560,14525,14623,14577,14649,14700,14603,14718,14737,14748,14737,14823,14792,14822,14879,14721,14883,14971,14978,14959,15082,15036,15141,15076,15132,15120,15184,15265,15236,15225
E5,5089,5075,5102,5125,5124,5171,5178,5272,5359,5456,5544,5593,5674,5734,5806,5882,5955,6016,6116,6145,6198,6227,6291,6311,6333,6382,6397,6462,6513,6568,6588,6654,6714,6699,6748,6804,6805,6940,6934,6975,6978,7074,7075,7157,7238,7237,7252,7230,7325,7436,7466,7459,7590,7604,7609,7626,7697,7751,7854,7870,7856,7957,8024,8029,8064,8138,8160,8262,8323,8372,8404,8384,8513,8552,8618,8726,8695,8765,8824,8851,8907,8956,9037,9100,9182,9266,9236,9253,9366,9327,9387,9530,9508,9566,9609,9644,9759,9787,9780,9848
E6,6410,6604,6659,6814,6918,7070,7149,7195,7440,7566,7705,7825,7918,8027,8106,8214,8259,8410,8590,8577,8679,8744,8836,8933,9047,9106,9169,9170,9293,9364,9469,9578,9587,9611,9755,9821,9822,9967,10023,9978,10101,10119,10167,10312,10325,10375,10416,10491,10532,10687,10685,10735,10846,10846,11008,10967,11006,11009,11130,11241,11171,11284,11335,11293,11453,11464,11498,11572,11587,11636,11724,11797,11799,11767,11918,11851,11842,11932,11993,12030,12059,12060,12226,12146,12256,12287,12204,12349,12343,12463,12473,12430,12453,12535,12517,12527,12638,12635,12637,12722
E7,5341,5141,5191,5168,5141,5047,5070,5074,5262,5552,5406,5438,5369,5194,5302,5176,5287,5253,5158,5175,5256,5244,5266,5256,5340,5261,5236,5248,5228,5190,5165,5184,5109,5138,5054,5072,5032,5051,5050,5014,4979,4966,4969,4930,4964,4892,4973,4995,4866,4927,4869,4804,4914,4890,4879,4853,4805,4874,4775,4846,4797,4817,4707,4846,4770,4809,4738,4780,4688,4712,4734,4776,4779,4737,4806,4721,4724,4771,4754,4709,4704,4707,4689,4694,4677,4685,4663,4673,4677,4671,4639,4675,4626,4622,4592,4628,4661,4599,4647,4601
